topic_a,topic_b,metric_id,sample_id,n_pair_universe,n_sample_pairs,n_defined_pairs,spearman,pearson,dependent_top_jaccard,complementary_top_jaccard,dependency_persistence_a_to_b,dependency_persistence_b_to_a,complementarity_persistence_a_to_b,complementarity_persistence_b_to_a,dependency_to_complementarity_a_to_b,dependency_to_complementarity_b_to_a,quartile_transition_counts,reason,interpretation_status
climate_weather,entertainment_culture,adjusted_pog,near_bi_both,2415,3,3,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,"{""Q1->Q1"":0,""Q1->Q2"":1,""Q1->Q3"":0,""Q1->Q4"":0,""Q2->Q1"":1,""Q2->Q2"":0,""Q2->Q3"":0,""Q2->Q4"":0,""Q3->Q1"":0,""Q3->Q2"":0,""Q3->Q3"":0,""Q3->Q4"":0,""Q4->Q1"":0,""Q4->Q2"":0,""Q4->Q3"":0,""Q4->Q4"":1}",defined_pair_count_3_below_reporting_min_30,insufficient
climate_weather,entertainment_culture,high_loss_lift,near_bi_both,2415,3,3,,,0.0,1.0,0.0,,1.0,1.0,0.0,,"{""Q1->Q1"":1,""Q1->Q2"":0,""Q1->Q3"":0,""Q1->Q4"":0,""Q2->Q1"":0,""Q2->Q2"":0,""Q2->Q3"":1,""Q2->Q4"":0,""Q3->Q1"":0,""Q3->Q2"":0,""Q3->Q3"":0,""Q3->Q4"":0,""Q4->Q1"":0,""Q4->Q2"":0,""Q4->Q3"":1,""Q4->Q4"":0}",defined_pair_count_3_below_reporting_min_30,insufficient
climate_weather,entertainment_culture,adjusted_loss_corr,near_bi_both,2415,3,3,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,"{""Q1->Q1"":1,""Q1->Q2"":0,""Q1->Q3"":0,""Q1->Q4"":0,""Q2->Q1"":0,""Q2->Q2"":1,""Q2->Q3"":0,""Q2->Q4"":0,""Q3->Q1"":0,""Q3->Q2"":0,""Q3->Q3"":0,""Q3->Q4"":0,""Q4->Q1"":0,""Q4->Q2"":0,""Q4->Q3"":0,""Q4->Q4"":1}",defined_pair_count_3_below_reporting_min_30,insufficient
climate_weather,entertainment_culture,adjusted_pog,eligible_both,2415,12,12,,,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,"{""Q1->Q1"":2,""Q1->Q2"":0,""Q1->Q3"":1,""Q1->Q4"":0,""Q2->Q1"":1,""Q2->Q2"":1,""Q2->Q3"":1,""Q2->Q4"":0,""Q3->Q1"":0,""Q3->Q2"":1,""Q3->Q3"":1,""Q3->Q4"":1,""Q4->Q1"":0,""Q4->Q2"":1,""Q4->Q3"":0,""Q4->Q4"":2}",defined_pair_count_12_below_reporting_min_30,insufficient
climate_weather,entertainment_culture,high_loss_lift,eligible_both,2415,12,12,,,0.25,0.75,0.3333333333333333,0.5,1.0,0.75,0.3333333333333333,0.0,"{""Q1->Q1"":3,""Q1->Q2"":0,""Q1->Q3"":0,""Q1->Q4"":0,""Q2->Q1"":0,""Q2->Q2"":2,""Q2->Q3"":1,""Q2->Q4"":0,""Q3->Q1"":0,""Q3->Q2"":0,""Q3->Q3"":2,""Q3->Q4"":1,""Q4->Q1"":1,""Q4->Q2"":1,""Q4->Q3"":0,""Q4->Q4"":1}",defined_pair_count_12_below_reporting_min_30,insufficient
climate_weather,entertainment_culture,adjusted_loss_corr,eligible_both,2415,12,12,,,0.2,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,"{""Q1->Q1"":1,""Q1->Q2"":1,""Q1->Q3"":1,""Q1->Q4"":0,""Q2->Q1"":1,""Q2->Q2"":0,""Q2->Q3"":1,""Q2->Q4"":1,""Q3->Q1"":1,""Q3->Q2"":1,""Q3->Q3"":0,""Q3->Q4"":1,""Q4->Q1"":0,""Q4->Q2"":1,""Q4->Q3"":1,""Q4->Q4"":1}",defined_pair_count_12_below_reporting_min_30,insufficient
climate_weather,finance_economics,adjusted_pog,near_bi_both,2415,82,82,0.3487445717830673,0.2696882677742901,0.3548387096774194,0.13513513513513514,0.5238095238095238,0.5238095238095238,0.23809523809523808,0.23809523809523808,0.09523809523809523,0.14285714285714285,"{""Q1->Q1"":5,""Q1->Q2"":9,""Q1->Q3"":4,""Q1->Q4"":3,""Q2->Q1"":10,""Q2->Q2"":1,""Q2->Q3"":6,""Q2->Q4"":3,""Q3->Q1"":4,""Q3->Q2"":7,""Q3->Q3"":5,""Q3->Q4"":4,""Q4->Q1"":2,""Q4->Q2"":3,""Q4->Q3"":5,""Q4->Q4"":11}",,limited
climate_weather,finance_economics,high_loss_lift,near_bi_both,2415,82,82,0.25071696388614656,0.3130301230268789,0.16666666666666666,0.23529411764705882,0.2857142857142857,0.2857142857142857,0.38095238095238093,0.38095238095238093,0.09523809523809523,0.23809523809523808,"{""Q1->Q1"":8,""Q1->Q2"":7,""Q1->Q3"":1,""Q1->Q4"":5,""Q2->Q1"":5,""Q2->Q2"":4,""Q2->Q3"":6,""Q2->Q4"":5,""Q3->Q1"":6,""Q3->Q2"":2,""Q3->Q3"":7,""Q3->Q4"":5,""Q4->Q1"":2,""Q4->Q2"":7,""Q4->Q3"":6,""Q4->Q4"":6}",,limited
climate_weather,finance_economics,adjusted_loss_corr,near_bi_both,2415,82,82,0.5223386772020332,0.5912773789502124,0.5555555555555556,0.2727272727272727,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.09523809523809523,0.047619047619047616,"{""Q1->Q1"":9,""Q1->Q2"":5,""Q1->Q3"":6,""Q1->Q4"":1,""Q2->Q1"":6,""Q2->Q2"":7,""Q2->Q3"":6,""Q2->Q4"":1,""Q3->Q1"":4,""Q3->Q2"":7,""Q3->Q3"":5,""Q3->Q4"":4,""Q4->Q1"":2,""Q4->Q2"":1,""Q4->Q3"":3,""Q4->Q4"":15}",,limited
climate_weather,finance_economics,adjusted_pog,eligible_both,2415,828,828,0.1434527731998834,0.10057511282019556,0.23214285714285715,0.12806539509536785,0.37681159420289856,0.37681159420289856,0.22705314009661837,0.22705314009661837,0.2946859903381642,0.12077294685990338,"{""Q1->Q1"":47,""Q1->Q2"":70,""Q1->Q3"":65,""Q1->Q4"":25,""Q2->Q1"":55,""Q2->Q2"":55,""Q2->Q3"":58,""Q2->Q4"":39,""Q3->Q1"":44,""Q3->Q2"":48,""Q3->Q3"":50,""Q3->Q4"":65,""Q4->Q1"":61,""Q4->Q2"":34,""Q4->Q3"":34,""Q4->Q4"":78}",,headline
climate_weather,finance_economics,high_loss_lift,eligible_both,2415,828,828,0.3312100517199474,0.4250104343489129,0.29375,0.23214285714285715,0.45410628019323673,0.45410628019323673,0.37681159420289856,0.37681159420289856,0.13043478260869565,0.17391304347826086,"{""Q1->Q1"":78,""Q1->Q2"":58,""Q1->Q3"":35,""Q1->Q4"":36,""Q2->Q1"":62,""Q2->Q2"":67,""Q2->Q3"":47,""Q2->Q4"":31,""Q3->Q1"":40,""Q3->Q2"":49,""Q3->Q3"":72,""Q3->Q4"":46,""Q4->Q1"":27,""Q4->Q2"":33,""Q4->Q3"":53,""Q4->Q4"":94}",,headline
climate_weather,finance_economics,adjusted_loss_corr,eligible_both,2415,828,828,0.3865739826171852,0.434774677723716,0.38,0.2469879518072289,0.5507246376811594,0.5507246376811594,0.3961352657004831,0.3961352657004831,0.1111111111111111,0.1497584541062802,"{""Q1->Q1"":82,""Q1->Q2"":53,""Q1->Q3"":41,""Q1->Q4"":31,""Q2->Q1"":62,""Q2->Q2"":65,""Q2->Q3"":61,""Q2->Q4"":19,""Q3->Q1"":40,""Q3->Q2"":50,""Q3->Q3"":74,""Q3->Q4"":43,""Q4->Q1"":23,""Q4->Q2"":39,""Q4->Q3"":31,""Q4->Q4"":114}",,headline
