experiment,pair_id,model_a,model_b,pair_group,method,fold_records,train_target_cells,test_target_cells,train_near_bi_share,train_bi_gap,train_adjusted_pog_complementarity,train_high_loss_lift_complementarity,train_adjusted_loss_corr_complementarity,train_alignment_c,train_disagreement_d,train_alpha_clipped,train_alpha_lcb_1se,train_alpha_lcb_95,test_alignment_c,test_disagreement_d,test_alpha_clipped,test_pooled_alpha_clipped,test_partner_win_share,method_partner_weight,adjusted_brier,anchor_adjusted_brier,best_single_adjusted_brier,brier_index,gain_vs_anchor,gain_vs_best_single,mean_fold_gain_vs_anchor,mean_fold_gain_vs_best_single,model_adjusted_brier,gain_vs_model,canonical_model_version,model_configuration,primary_configuration
polymarket_model,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),claude,anchor,20,7100,7100,0.9,1.402677255920663,0.003002995295633801,-39.83504394041014,-0.7098895636285442,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.0,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.18591549295774643,0.0,0.07279090800681735,0.07279090800681735,0.07279090800681735,73.02250184774691,0.0,0.0,0.0,0.0,0.0805815869787892,0.09668063467182049,Claude-3-5-Sonnet-20240620,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),claude,best_single,20,7100,7100,0.9,1.402677255920663,0.003002995295633801,-39.83504394041014,-0.7098895636285442,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.0,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.18591549295774643,,0.07279090800681735,0.07279090800681735,0.07279090800681735,73.02250184774691,0.0,0.0,0.0,0.0,0.0805815869787892,0.09668063467182049,Claude-3-5-Sonnet-20240620,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),claude,cf_directional,20,7100,7100,0.9,1.402677255920663,0.003002995295633801,-39.83504394041014,-0.7098895636285442,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.0,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.18591549295774643,,0.07291621430245747,0.07279090800681735,0.07279090800681735,72.99933282884436,-0.0017214553173094012,-0.0017214553173094012,-0.0017281373082070563,-0.0017281373082070563,0.0805815869787892,0.09512561074714775,Claude-3-5-Sonnet-20240620,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),claude,cf_directional_lcb_1se,20,7100,7100,0.9,1.402677255920663,0.003002995295633801,-39.83504394041014,-0.7098895636285442,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.0,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.18591549295774643,,0.07283758565331168,0.07279090800681735,0.07279090800681735,73.01387462523438,-0.000641256549375007,-0.000641256549375007,-0.0006427029456841575,-0.0006427029456841575,0.0805815869787892,0.09610137521262652,Claude-3-5-Sonnet-20240620,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),claude,cf_lcb_1se,20,7100,7100,0.9,1.402677255920663,0.003002995295633801,-39.83504394041014,-0.7098895636285442,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.0,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.18591549295774643,0.0,0.07279090800681735,0.07279090800681735,0.07279090800681735,73.02250184774691,0.0,0.0,0.0,0.0,0.0805815869787892,0.09668063467182049,Claude-3-5-Sonnet-20240620,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),claude,cf_lcb_95,20,7100,7100,0.9,1.402677255920663,0.003002995295633801,-39.83504394041014,-0.7098895636285442,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.0,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.18591549295774643,0.0,0.07279090800681735,0.07279090800681735,0.07279090800681735,73.02250184774691,0.0,0.0,0.0,0.0,0.0805815869787892,0.09668063467182049,Claude-3-5-Sonnet-20240620,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),claude,cf_linear,20,7100,7100,0.9,1.402677255920663,0.003002995295633801,-39.83504394041014,-0.7098895636285442,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.0,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.18591549295774643,0.0,0.07279090800681735,0.07279090800681735,0.07279090800681735,73.02250184774691,0.0,0.0,0.0,0.0,0.0805815869787892,0.09668063467182049,Claude-3-5-Sonnet-20240620,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),claude,ec_w0_56,20,7100,7100,0.9,1.402677255920663,0.003002995295633801,-39.83504394041014,-0.7098895636285442,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.0,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.18591549295774643,,0.07413708651323693,0.07279090800681735,0.07279090800681735,72.7752722645384,-0.018493772687840325,-0.018493772687840325,-0.01840340137328181,-0.01840340137328181,0.0805815869787892,0.07997485166491694,Claude-3-5-Sonnet-20240620,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),claude,log_odds_mean,20,7100,7100,0.9,1.402677255920663,0.003002995295633801,-39.83504394041014,-0.7098895636285442,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.0,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.18591549295774643,,0.07509044870111944,0.07279090800681735,0.07279090800681735,72.60061340747768,-0.03159104285505991,-0.03159104285505991,-0.031502490972164156,-0.031502490972164156,0.0805815869787892,0.06814383388993245,Claude-3-5-Sonnet-20240620,scratchpad with freeze values,0
polymarket_model,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values) x Polymarket Freeze,Polymarket Freeze,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),claude,oracle_directional,20,7100,7100,0.9,1.402677255920663,0.003002995295633801,-39.83504394041014,-0.7098895636285442,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.0,-0.0016238698873239435,0.004542939197323944,0.0,0.0,0.18591549295774643,,0.07276106466623439,0.07279090800681735,0.07279090800681735,73.02803717416296,0.00040998720032687597,0.00040998720032687597,0.00040960429591105883,0.00040960429591105883,0.0805815869787892,0.09705098404941244,Claude-3-5-Sonnet-20240620,scratchpad with freeze values,0
