global_scope,comparison_mode,topic_id,n_model_universe,n_sample_models,n_defined_models,spearman,pearson,top_quartile_jaccard,global_top_quartile_retained,topic_top_quartile_retained,reason,interpretation_status
official_full,leave_topic_out,climate_weather,263,263,263,0.674840543115573,0.6469537591000294,0.48314606741573035,0.6515151515151515,0.6515151515151515,,headline
seven_topic_union,leave_topic_out,climate_weather,263,263,263,0.6684013591046535,0.636261658577283,0.5172413793103449,0.6818181818181818,0.6818181818181818,,headline
official_full,leave_topic_out,entertainment_culture,263,28,28,,,,,,defined_count_28_below_reporting_min_30,insufficient
seven_topic_union,leave_topic_out,entertainment_culture,263,28,28,,,,,,defined_count_28_below_reporting_min_30,insufficient
official_full,leave_topic_out,finance_economics,263,263,263,0.8211969480131626,0.7943989919164931,0.5714285714285714,0.7272727272727273,0.7272727272727273,,headline
seven_topic_union,leave_topic_out,finance_economics,263,263,263,0.8134193509233139,0.7801231761580305,0.6097560975609756,0.7575757575757576,0.7575757575757576,,headline
official_full,leave_topic_out,health_science,263,263,263,0.3009383885404236,0.403833004636112,0.2,0.3333333333333333,0.3333333333333333,,headline
seven_topic_union,leave_topic_out,health_science,263,263,263,0.3010248541684406,0.40547275652634096,0.2,0.3333333333333333,0.3333333333333333,,headline
official_full,leave_topic_out,politics_conflict,263,263,263,0.8791715715199822,0.8759283994943744,0.5172413793103449,0.6818181818181818,0.6818181818181818,,headline
seven_topic_union,leave_topic_out,politics_conflict,263,263,263,0.8760515201804424,0.8735664364932453,0.5348837209302325,0.696969696969697,0.696969696969697,,headline
official_full,leave_topic_out,sports,263,262,262,0.8020372935550094,0.7612958540028937,0.41935483870967744,0.5909090909090909,0.5909090909090909,,headline
seven_topic_union,leave_topic_out,sports,263,262,262,0.8084462990100724,0.7700800087885451,0.43478260869565216,0.6060606060606061,0.6060606060606061,,headline
official_full,leave_topic_out,technology_ai,263,92,92,0.8848542761586241,0.8988903854655454,0.5862068965517241,0.7391304347826086,0.7391304347826086,,limited
seven_topic_union,leave_topic_out,technology_ai,263,92,92,0.8376616371006274,0.8614895459396482,0.5333333333333333,0.6956521739130435,0.6956521739130435,,limited
official_full,inclusive_global,climate_weather,263,263,263,0.7075324207588715,0.6760829502363201,0.5172413793103449,0.6818181818181818,0.6818181818181818,,headline
official_full,inclusive_global,entertainment_culture,263,28,28,,,,,,defined_count_28_below_reporting_min_30,insufficient
official_full,inclusive_global,finance_economics,263,263,263,0.8732695859078445,0.8554557180289861,0.6923076923076923,0.8181818181818182,0.8181818181818182,,headline
official_full,inclusive_global,health_science,263,263,263,0.33861641742529386,0.4703841045777443,0.2222222222222222,0.36363636363636365,0.36363636363636365,,headline
official_full,inclusive_global,politics_conflict,263,263,263,0.9253214444857967,0.9284565317778872,0.6296296296296297,0.7727272727272727,0.7727272727272727,,headline
official_full,inclusive_global,sports,263,262,262,0.8399420432587555,0.8024202592668664,0.5,0.6666666666666666,0.6666666666666666,,headline
official_full,inclusive_global,technology_ai,263,92,92,0.9061079173281138,0.9125802668841334,0.5862068965517241,0.7391304347826086,0.7391304347826086,,limited
seven_topic_union,inclusive_global,climate_weather,263,263,263,0.7061178912525128,0.6711444785298307,0.5172413793103449,0.6818181818181818,0.6818181818181818,,headline
seven_topic_union,inclusive_global,entertainment_culture,263,28,28,,,,,,defined_count_28_below_reporting_min_30,insufficient
seven_topic_union,inclusive_global,finance_economics,263,263,263,0.874375981348758,0.8528725774552082,0.6708860759493671,0.803030303030303,0.803030303030303,,headline
seven_topic_union,inclusive_global,health_science,263,263,263,0.34537341276991496,0.4762312206292849,0.2336448598130841,0.3787878787878788,0.3787878787878788,,headline
seven_topic_union,inclusive_global,politics_conflict,263,263,263,0.9374666149712492,0.9364308156851119,0.65,0.7878787878787878,0.7878787878787878,,headline
seven_topic_union,inclusive_global,sports,263,262,262,0.8530588516910148,0.8187022837928005,0.5172413793103449,0.6818181818181818,0.6818181818181818,,headline
seven_topic_union,inclusive_global,technology_ai,263,92,92,0.8840682459195784,0.894889075761516,0.5333333333333333,0.6956521739130435,0.6956521739130435,,limited
