canonical_model_version,exact_model_name,model_organization,model_configuration,selected,selection_rank,selection_reason,n_scored_rows,n_dates,date_min,date_max
Claude-2.1,Claude-2.1 (zero shot),Anthropic,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,1507,1,2024-07-21,2024-07-21
Claude-2.1,Claude-2.1 (zero shot with freeze values),Anthropic,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Claude-2.1,Claude-2.1 (scratchpad),Anthropic,scratchpad,0,3,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Claude-2.1,Claude-2.1 (scratchpad with news),Anthropic,scratchpad with news,0,4,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Claude-2.1,Claude-2.1 (scratchpad with freeze values),Anthropic,scratchpad with freeze values,0,5,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Claude-2.1,Claude-2.1 (scratchpad with news with freeze values),Anthropic,scratchpad with news with freeze values,0,6,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Claude-3-5-Sonnet-20240620,Claude-3-5-Sonnet-20240620 (zero shot),Anthropic,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,17187,13,2024-07-21,2025-08-31
Claude-3-5-Sonnet-20240620,Claude-3-5-Sonnet-20240620 (zero shot with freeze values),Anthropic,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,17187,13,2024-07-21,2025-08-31
Claude-3-5-Sonnet-20240620,Claude-3-5-Sonnet-20240620 (scratchpad),Anthropic,scratchpad,0,3,same_model_version_nonrepresentative_configuration,15976,12,2024-07-21,2025-08-31
Claude-3-5-Sonnet-20240620,Claude-3-5-Sonnet-20240620 (scratchpad with news),Anthropic,scratchpad with news,0,4,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Claude-3-5-Sonnet-20240620,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),Anthropic,scratchpad with freeze values,0,5,same_model_version_nonrepresentative_configuration,15976,12,2024-07-21,2025-08-31
Claude-3-5-Sonnet-20240620,Claude-3-5-Sonnet-20240620 (scratchpad with SECOND news),Anthropic,scratchpad with SECOND news,0,6,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Claude-3-5-Sonnet-20240620,Claude-3-5-Sonnet-20240620 (scratchpad with news with freeze values),Anthropic,scratchpad with news with freeze values,0,7,same_model_version_nonrepresentative_configuration,1507,1,2024-07-21,2024-07-21
Claude-3-5-Sonnet-20241022,Claude-3-5-Sonnet-20241022 (zero shot),Anthropic,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,9565,7,2025-03-02,2025-05-25
Claude-3-5-Sonnet-20241022,Claude-3-5-Sonnet-20241022 (zero shot with freeze values),Anthropic,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,9565,7,2025-03-02,2025-05-25
Claude-3-5-Sonnet-20241022,Claude-3-5-Sonnet-20241022 (scratchpad),Anthropic,scratchpad,0,3,same_model_version_nonrepresentative_configuration,9565,7,2025-03-02,2025-05-25
Claude-3-5-Sonnet-20241022,Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),Anthropic,scratchpad with freeze values,0,4,same_model_version_nonrepresentative_configuration,9565,7,2025-03-02,2025-05-25
Claude-3-7-Sonnet-20250219,Claude-3-7-Sonnet-20250219 (zero shot),Anthropic,zero shot,1,1,preferred_outcome_blind_zero_shot_configuration,13630,12,2025-03-02,2025-12-21
Claude-3-7-Sonnet-20250219,Claude-3-7-Sonnet-20250219 (zero shot with freeze values),Anthropic,zero shot with freeze values,0,2,same_model_version_nonrepresentative_configuration,13630,12,2025-03-02,2025-12-21
Claude-3-7-Sonnet-20250219,Claude-3-7-Sonnet-20250219 (scratchpad),Anthropic,scratchpad,0,3,same_model_version_nonrepresentative_configuration,9565,7,2025-03-02,2025-05-25
Claude-3-7-Sonnet-20250219,Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),Anthropic,scratchpad with freeze values,0,4,same_model_version_nonrepresentative_configuration,9565,7,2025-03-02,2025-05-25
