view,pair_scope,ability_gap,coverage,dimension,cohort,method,n,n_defined,mean_gain_vs_test_best_bi,median_gain_vs_test_best_bi,beats_both_rate,mean_gain_vs_train_selected_bi,beats_train_selected_rate,mean_increment_vs_global_bi,mean_gain_vs_test_best_raw_loss,mean_train_gap,mean_test_gap,mean_train_coverage,mean_test_events
primary,all,3.0,0.5,topic,crossing,simple_mean,2449.0,2449.0,0.20481880959028895,0.2471517011814299,0.6614944875459371,0.3995309005585211,0.6859942833809718,,0.0017392278777316275,1.2347096517348888,1.629687905759599,0.7306676540758348,395.0453246222948
primary,all,3.0,0.5,topic,crossing,log_odds_mean,2449.0,2449.0,0.3361021757068243,0.3660686208792469,0.7305022458146182,0.5308142666750565,0.754593711719069,,0.002844037592084163,1.2347096517348888,1.629687905759599,0.7306676540758348,395.0453246222948
primary,all,3.0,0.5,topic,crossing,ec_w0_56,2449.0,2449.0,0.3225128814599334,0.36940769094101,0.7158023683135973,0.5172249724281656,0.7447937933850551,,0.002708129022290782,1.2347096517348888,1.629687905759599,0.7306676540758348,395.0453246222948
primary,all,3.0,0.5,topic,crossing,piecewise_odds,2449.0,2449.0,0.37857771043586536,0.4020205271595998,0.7280522662311147,0.5732898014040976,0.7590853409554921,,0.0032026836387288823,1.2347096517348888,1.629687905759599,0.7306676540758348,395.0453246222948
primary,all,3.0,0.5,topic,crossing,cf_directional,2449.0,2449.0,1.3585742185517307,1.191497007126323,0.9661086157615353,1.5532863095199627,0.9706002449979584,,0.011593995030749272,1.2347096517348888,1.629687905759599,0.7306676540758348,395.0453246222948
primary,all,3.0,0.5,source,crossing,simple_mean,3126.0,3126.0,0.1291880031881467,0.1630610388070259,0.6055662188099808,0.22979524900150247,0.6126039667306462,,0.0011135009226222272,1.2721230824049983,1.632899415545959,0.7874388605500244,460.9990403071017
primary,all,3.0,0.5,source,crossing,log_odds_mean,3126.0,3126.0,0.28538657316307414,0.27887955683917903,0.6944977607165707,0.38599381897643,0.7008957133717211,,0.0023919730263704865,1.2721230824049983,1.632899415545959,0.7874388605500244,460.9990403071017
primary,all,3.0,0.5,source,crossing,ec_w0_56,3126.0,3126.0,0.2775138010624871,0.27770498479490513,0.6836212412028151,0.3781210468758429,0.6941778630838131,,0.0023142734786779006,1.2721230824049983,1.632899415545959,0.7874388605500244,460.9990403071017
primary,all,3.0,0.5,source,crossing,piecewise_odds,3126.0,3126.0,0.2513433550733943,0.258189872571954,0.6535508637236085,0.3519506008867501,0.6705054382597568,,0.0021054743466008387,1.2721230824049983,1.632899415545959,0.7874388605500244,460.9990403071017
primary,all,3.0,0.5,source,crossing,cf_directional,3126.0,3126.0,0.6572334789868046,0.5334922204267194,0.9065898912348048,0.7578407248001604,0.9145873320537428,,0.00549528544966821,1.2721230824049983,1.632899415545959,0.7874388605500244,460.9990403071017
primary,all,5.0,0.5,topic,crossing,simple_mean,2834.0,2834.0,0.09848169180365954,0.171067876417986,0.602681721947777,0.26815709784560904,0.6238532110091743,,0.0008447176258266453,1.5786801837017364,1.9298522602873067,0.7225087580034207,378.3172194777699
primary,all,5.0,0.5,topic,crossing,log_odds_mean,2834.0,2834.0,0.2594200219455728,0.3057990733930325,0.678546224417784,0.42909542798752226,0.6993648553281581,,0.0022079777509094313,1.5786801837017364,1.9298522602873067,0.7225087580034207,378.3172194777699
primary,all,5.0,0.5,topic,crossing,ec_w0_56,2834.0,2834.0,0.2494332984787052,0.2963694849340363,0.6718419195483416,0.4191087045206547,0.696894848270995,,0.002101022123911154,1.5786801837017364,1.9298522602873067,0.7225087580034207,378.3172194777699
primary,all,5.0,0.5,topic,crossing,piecewise_odds,2834.0,2834.0,0.3147694049817095,0.3535152893081346,0.6933662667607622,0.48444481102365905,0.7201834862385321,,0.002674863230228022,1.5786801837017364,1.9298522602873067,0.7225087580034207,378.3172194777699
primary,all,5.0,0.5,topic,crossing,cf_directional,2834.0,2834.0,1.388470307434924,1.2353960767591978,0.9622441778405081,1.5581457134768737,0.9661256175017643,,0.011875995269579326,1.5786801837017364,1.9298522602873067,0.7225087580034207,378.3172194777699
primary,all,5.0,0.5,source,crossing,simple_mean,3786.0,3786.0,-0.04233219515633294,0.019943719663970648,0.5126782884310618,0.040856878108683485,0.5184891706286318,,-0.00030238887248825445,1.7088607831601257,2.068525477486543,0.7874505291128279,451.3555203380877
primary,all,5.0,0.5,source,crossing,log_odds_mean,3786.0,3786.0,0.15543127858244374,0.16086633736740547,0.6088219756999472,0.23862035184746014,0.6141045958795562,,0.001319399996498882,1.7088607831601257,2.068525477486543,0.7874505291128279,451.3555203380877
primary,all,5.0,0.5,source,crossing,ec_w0_56,3786.0,3786.0,0.15737701841763277,0.17009180674663676,0.6085578446909667,0.2405660916826492,0.6172741679873217,,0.001323305594152751,1.7088607831601257,2.068525477486543,0.7874505291128279,451.3555203380877
primary,all,5.0,0.5,source,crossing,piecewise_odds,3786.0,3786.0,0.1440951096082093,0.1570706405755366,0.5948230322239831,0.22728418287322566,0.6088219756999472,,0.0012218615446831353,1.7088607831601257,2.068525477486543,0.7874505291128279,451.3555203380877
primary,all,5.0,0.5,source,crossing,cf_directional,3786.0,3786.0,0.5975394923573619,0.4405648638035018,0.8888008452192288,0.6807285656223784,0.8954041204437401,,0.004999065117895092,1.7088607831601257,2.068525477486543,0.7874505291128279,451.3555203380877
primary,different_model_version,3.0,0.5,topic,crossing,simple_mean,2333.0,2333.0,0.20216370166680314,0.2466491813722484,0.6562366052293185,0.3970602302186901,0.6815259322760394,,0.0017127071769988934,1.2350089388232353,1.6499619030966435,0.7316272901481758,396.63351907415347
primary,different_model_version,3.0,0.5,topic,crossing,log_odds_mean,2333.0,2333.0,0.3315487046945626,0.3595041387627447,0.7269609944277754,0.5264452332464497,0.7513930561508787,,0.0028008710411993555,1.2350089388232353,1.6499619030966435,0.7316272901481758,396.63351907415347
primary,different_model_version,3.0,0.5,topic,crossing,ec_w0_56,2333.0,2333.0,0.3164964339644538,0.3622048949632628,0.7123874839262752,0.5113929625163408,0.7406772396056579,,0.0026531772322571767,1.2350089388232353,1.6499619030966435,0.7316272901481758,396.63351907415347
primary,different_model_version,3.0,0.5,topic,crossing,piecewise_odds,2333.0,2333.0,0.36839908707164226,0.3912322099357439,0.7188169738534076,0.5632956156235291,0.7501071581654523,,0.003112480963428174,1.2350089388232353,1.6499619030966435,0.7316272901481758,396.63351907415347
primary,different_model_version,3.0,0.5,topic,crossing,cf_directional,2333.0,2333.0,1.340417361307716,1.1776139009405355,0.9644234890698671,1.535313889859603,0.9691384483497643,,0.011431312536598067,1.2350089388232353,1.6499619030966435,0.7316272901481758,396.63351907415347
primary,different_model_version,3.0,0.5,source,crossing,simple_mean,3053.0,3053.0,0.12820127599773887,0.1617759762134056,0.6033409760890927,0.2297000577403415,0.6102194562725188,,0.0011045208012448221,1.2763072019546018,1.643438872796978,0.7870499138358236,458.46413363904355
