global_scope,comparison_mode,topic_id,n_model_universe,n_sample_models,n_defined_models,spearman,pearson,top_quartile_jaccard,global_top_quartile_retained,topic_top_quartile_retained,reason,interpretation_status
official_full,leave_topic_out,climate_weather,70,70,70,0.5682617443793193,0.591615826180938,0.44,0.6111111111111112,0.6111111111111112,,limited
seven_topic_union,leave_topic_out,climate_weather,70,70,70,0.5408275741404951,0.5822499530687275,0.38461538461538464,0.5555555555555556,0.5555555555555556,,limited
official_full,leave_topic_out,entertainment_culture,70,8,8,,,,,,defined_count_8_below_reporting_min_30,insufficient
seven_topic_union,leave_topic_out,entertainment_culture,70,8,8,,,,,,defined_count_8_below_reporting_min_30,insufficient
official_full,leave_topic_out,finance_economics,70,70,70,0.65003936663459,0.6904309060305557,0.38461538461538464,0.5555555555555556,0.5555555555555556,,limited
seven_topic_union,leave_topic_out,finance_economics,70,70,70,0.6627766599597584,0.6920767732779048,0.44,0.6111111111111112,0.6111111111111112,,limited
official_full,leave_topic_out,health_science,70,70,70,0.19688566179686814,0.3671595488710144,0.16129032258064516,0.2777777777777778,0.2777777777777778,,limited
seven_topic_union,leave_topic_out,health_science,70,70,70,0.2043740705100166,0.3705685806398342,0.16129032258064516,0.2777777777777778,0.2777777777777778,,limited
official_full,leave_topic_out,politics_conflict,70,70,70,0.8671682267518152,0.8597899436551933,0.5652173913043478,0.7222222222222222,0.7222222222222222,,limited
seven_topic_union,leave_topic_out,politics_conflict,70,70,70,0.8699326393141457,0.8494825066137723,0.5652173913043478,0.7222222222222222,0.7222222222222222,,limited
official_full,leave_topic_out,sports,70,70,70,0.8501968331729507,0.7735768364775123,0.5652173913043478,0.7222222222222222,0.7222222222222222,,limited
seven_topic_union,leave_topic_out,sports,70,70,70,0.8456128072784532,0.7736563275778949,0.5652173913043478,0.7222222222222222,0.7222222222222222,,limited
official_full,leave_topic_out,technology_ai,70,32,32,0.847873900293255,0.8797177355991505,0.45454545454545453,0.625,0.625,,limited
seven_topic_union,leave_topic_out,technology_ai,70,32,32,0.8592375366568914,0.8700863190807185,0.6,0.75,0.75,,limited
official_full,inclusive_global,climate_weather,70,70,70,0.6055988102528213,0.6215841572953179,0.44,0.6111111111111112,0.6111111111111112,,limited
official_full,inclusive_global,entertainment_culture,70,8,8,,,,,,defined_count_8_below_reporting_min_30,insufficient
official_full,inclusive_global,finance_economics,70,70,70,0.7415449217041378,0.7664290917339478,0.5,0.6666666666666666,0.6666666666666666,,limited
official_full,inclusive_global,health_science,70,70,70,0.24157116612719795,0.4464485924979691,0.16129032258064516,0.2777777777777778,0.2777777777777778,,limited
official_full,inclusive_global,politics_conflict,70,70,70,0.9139182923628728,0.9198726609813157,0.6363636363636364,0.7777777777777778,0.7777777777777778,,limited
official_full,inclusive_global,sports,70,70,70,0.895827136733444,0.8275489812276856,0.6363636363636364,0.7777777777777778,0.7777777777777778,,limited
official_full,inclusive_global,technology_ai,70,32,32,0.877565982404692,0.9034510507057024,0.6,0.75,0.75,,limited
seven_topic_union,inclusive_global,climate_weather,70,70,70,0.5837984428308983,0.6161200702443912,0.44,0.6111111111111112,0.6111111111111112,,limited
seven_topic_union,inclusive_global,entertainment_culture,70,8,8,,,,,,defined_count_8_below_reporting_min_30,insufficient
seven_topic_union,inclusive_global,finance_economics,70,70,70,0.7638001924591024,0.7805933161099144,0.5,0.6666666666666666,0.6666666666666666,,limited
seven_topic_union,inclusive_global,health_science,70,70,70,0.24772985740530135,0.45231802261293547,0.16129032258064516,0.2777777777777778,0.2777777777777778,,limited
seven_topic_union,inclusive_global,politics_conflict,70,70,70,0.9376082582451228,0.9256287863245373,0.7142857142857143,0.8333333333333334,0.8333333333333334,,limited
seven_topic_union,inclusive_global,sports,70,70,70,0.9026856792931501,0.8382405613213434,0.5652173913043478,0.7222222222222222,0.7222222222222222,,limited
seven_topic_union,inclusive_global,technology_ai,70,32,32,0.8834310850439882,0.9072261550094958,0.6,0.75,0.75,,limited
