scope_dimension,scope_id,model_id,model_name,organization,n_targets,n_dates,date_min,date_max,n_dataset_targets,n_market_targets,adjusted_brier,brier_index,min_targets_required,eligible,reason
global_scope,official_full,m-2673f7adab79,Claude-2.1,Anthropic,1507,1,2024-07-21,2024-07-21,1384,123,0.21479559072324814,53.65395478325598,50,1,
global_scope,official_full,m-1133a988055e,Claude-3-5-Sonnet-20240620,Anthropic,17187,13,2024-07-21,2025-08-31,15957,1230,0.15360519662919148,60.807501147644146,50,1,
global_scope,official_full,m-05d476e35038,Claude-3-5-Sonnet-20241022,Anthropic,9565,7,2025-03-02,2025-05-25,8924,641,0.1451438919110536,61.90224522218486,50,1,
global_scope,official_full,m-4cc7ba3fbff8,Claude-3-7-Sonnet-20250219,Anthropic,13630,12,2025-03-02,2025-12-21,12508,1122,0.15235529514964338,60.96728357523098,50,1,
global_scope,official_full,m-82ee262512a5,Claude-3-Haiku-20240307,Anthropic,6432,5,2024-07-21,2025-06-22,5933,499,0.21678403027258056,53.43992802061185,50,1,
global_scope,official_full,m-30b22f7eaedf,Claude-3-Opus-20240229,Anthropic,6432,5,2024-07-21,2025-06-22,5933,499,0.17074289700364342,58.678952457174624,50,1,
global_scope,official_full,m-c22226db460e,Claude-Haiku-4-5-20251001,Anthropic,4065,5,2025-10-26,2025-12-21,3584,481,0.1369319953838654,62.99567655207496,50,1,
global_scope,official_full,m-c4660ed0e412,Claude-Opus-4-1-20250805,Anthropic,6485,7,2025-08-17,2025-12-21,5824,661,0.143019975158308,62.18201814502683,50,1,
global_scope,official_full,m-af5950a758ba,Claude-Opus-4-20250514,Anthropic,1234,1,2025-08-03,2025-08-03,1140,94,0.22180694792833322,52.90361500833283,50,1,
global_scope,official_full,m-b3cf2d9147b2,Claude-Opus-4-5-20251101,Anthropic,1628,2,2025-12-07,2025-12-21,1445,183,0.14602649551768052,61.78658671125012,50,1,
global_scope,official_full,m-14c43b6fbaea,Claude-Sonnet-4-20250514,Anthropic,6091,6,2025-08-03,2025-11-23,5519,572,0.17078649507807223,58.67367726520152,50,1,
global_scope,official_full,m-067cec3d920e,Claude-Sonnet-4-5-20250929,Anthropic,4065,5,2025-10-26,2025-12-21,3584,481,0.12549924262039336,64.57412772839695,50,1,
global_scope,official_full,m-f7d79f342a93,DeepSeek-R1,DeepSeek,7101,5,2025-03-02,2025-04-27,6644,457,0.23030504338057659,52.009892333880245,50,1,
global_scope,official_full,m-4973eaa8e3ba,DeepSeek-V3,DeepSeek,7101,5,2025-03-02,2025-04-27,6644,457,0.15270677587675952,60.92228565067303,50,1,
global_scope,official_full,m-cd40178d5b8c,DeepSeek-V3.1,DeepSeek,4065,5,2025-10-26,2025-12-21,3584,481,0.16540146132275418,59.33042152631107,50,1,
global_scope,official_full,m-d2e90294cfd4,GLM-4.5-Air-FP8,Z.ai,2830,3,2025-08-31,2025-11-09,2548,282,0.1639224699422255,59.51266001053841,50,1,
global_scope,official_full,m-e9cb69d903bb,GLM-4.6,Z.ai,2444,3,2025-11-23,2025-12-21,2163,281,0.214579235976746,53.677301894562966,50,1,
global_scope,official_full,m-7020a0f966a0,GPT-3.5-Turbo-0125,OpenAI,1507,1,2024-07-21,2024-07-21,1384,123,0.3464172987452424,41.14277455186641,50,1,
global_scope,official_full,m-a208d7a5691d,GPT-4-0613,OpenAI,1507,1,2024-07-21,2024-07-21,1384,123,0.19219422200291364,56.16003854895472,50,1,
global_scope,official_full,m-6c9f0d592b9e,GPT-4-Turbo-2024-04-09,OpenAI,6432,5,2024-07-21,2025-06-22,5933,499,0.16315029209292164,59.608132985349435,50,1,
global_scope,official_full,m-05bcc48ff6e5,GPT-4.1-2025-04-14,OpenAI,11445,11,2025-04-27,2025-12-21,10418,1027,0.1411216156321237,62.43384293913953,50,1,
global_scope,official_full,m-141905ecaf50,GPT-4.5-Preview-2025-02-27,OpenAI,3066,2,2025-03-02,2025-03-16,2876,190,0.12848197363845987,64.15561778486622,50,1,
global_scope,official_full,m-9b816f4a6295,GPT-4o,OpenAI,1507,1,2024-07-21,2024-07-21,1384,123,0.1875423583697541,56.693838963750885,50,1,
global_scope,official_full,m-79448501633c,GPT-4o-2024-05-13,OpenAI,8960,7,2025-03-30,2025-06-22,8317,643,0.16699969601462988,59.134403709889426,50,1,
global_scope,official_full,m-1327a2256ab1,GPT-4o-2024-11-20,OpenAI,1532,1,2025-03-16,2025-03-16,1434,98,0.14524097442924944,61.88950611324364,50,1,
global_scope,official_full,m-ae18b690c932,GPT-5-2025-08-07,OpenAI,2830,3,2025-08-31,2025-11-09,2548,282,0.13050458925727185,63.87458107408692,50,1,
global_scope,official_full,m-f24e45c2ffe1,GPT-5-Mini-2025-08-07,OpenAI,5274,6,2025-08-31,2025-12-21,4711,563,0.13280798195140558,63.55717053364194,50,1,
global_scope,official_full,m-578dfe52357a,GPT-5-Nano-2025-08-07,OpenAI,5274,6,2025-08-31,2025-12-21,4711,563,0.15258322110875605,60.93809770265201,50,1,
